"0","1"
"Lamotrigine Kit","Digestive Nausea Vomiting Diarrhea Dyspepsia Constipation Anorexia|Musculoskeletal Arthralgia|Nervous Dizziness Ataxia Somnolence Incoordination Insomnia Tremor Depression Anxiety Convulsion Irritability Speech disorder Concentration disturbance|Respiratory Rhinitis Pharyngitis Cough increased|Skin and appendages Rash Pruritus|Special sensesDiplopia Blurred vision Vision abnormality|UrogenitalFemale patients only Dysmenorrhea Vaginitis Amenorrhea"
"Lanreotide Acetate","Gastrointestinal System Disorders|Diarrhea Abdominal pain Flatulence|Application Site Disorders (Injection site mass/ pain/ reaction/ inflammation)|Liver and Biliary System Disorders|Cholelithiasis|Heart Rate & Rhythm Disorders|Bradycardia|Red Blood Cell Disorders|Anemia|Metabolic & Nutritional Disorders|Weight decrease"
"Lansoprazole","Abdominal Pain|Digestive System|Constipation|Diarrhea|Nausea|Digestive System Constipation Diarrhea Nausea"
"Lansoprazole Dr","Digestive System Constipation Diarrhea Nausea"
"Lansoprazole, Amoxicillin, Clarithromycin","Diarrhea|Headache|Taste Perversion"
"Lanthanum Carbonate","Nausea|Vomiting|Abdominal pain|Abdominal Pain"
"Lantus","Upper respiratory tract infection|Accidental injury|Headache"
"Lantus Solostar","Upper respiratory tract infection|Accidental injury|Headache"
"Lasix","2. pancreatitis|3. jaundice (intrahepatic cholestatic jaundice)|4. increased liver enzymes|5. anorexia|2. systemic vasculitis|2. paresthesias|3. vertigo|4. dizziness|2. thrombocytopenia|3. agranulocytosis|4. hemolytic anemia|2. Stevens-Johnson Syndrome 3. erythema multiforme|4. drug rash with eosinophilia and systemic symptoms|5. acute generalized exanthematous pustulosis 6. exfoliative dermatitis|2. Increase in cholesterol and triglyceride serum levels|2. glycosuria|3. hyperuricemia|4. muscle spasm|5. weakness"
"Latanoprost","Symptom/Finding|Foreign body sensation|Punctate keratitis|Stinging|Conjunctival hyperemia|Blurred vision|Itching|Burning|Increased pigmentation of the iris|Increased pigmentation of the Iris|Punctate epithelial keratopathy"
"Latuda","Gastrointestinal Disorders|Nausea|Vomiting|Dyspepsia|Salivary Hypersecretion|Musculoskeletal and Connective Tissue Disorders|Back Pain|Nervous System Disorders|Somnolence*|Akathisia|Extrapyramidal Disorder**|Dizziness|Psychiatric Disorders|Insomnia|Agitation|Anxiety|Restlessness"
"Lazanda","Nausea|Vomiting|Dizziness"
"Leflunomide","Timing of Elevation|4-6 Months|7-9 Months|4 to 6 Months|7 to 9 Months|Timingof Elevation|Reversed to â‰¤ 2- fold ULN:|Timing of Elevation 0-3 Months 4-6 Months 7-9 Months 10-12 Months|Reversed to â‰¤2-fold ULN:|Reversed to â‰¤ 2-fold ULN:"
"Lenalidomide","Asthenia|Pyrexiac|Non-cardiac chest painf|Diarrhea|Dyspepsiaf|Back painc|Muscle spasmsf|Arthralgiaf|Bone painf|Pain in extremityf|Musculoskeletal painf|Musculoskeletal chest painf|Muscular weaknessf|Neck painf|Bronchitisc|Nasopharyngitisf|Urinary tract infectionf|Pneumoniac@|Influenzaf|Gastroenteritisf|Lower respiratory tract infection|Rhinitisf|Cellulitisc|Sepsisc@|Headachef|Dysgeusiaf|Anemia|Neutropenia|Thrombocytopenia|Febrile neutropenia|Pancytopenia|Coughf|Dyspneac,e|Epistaxisf|Oropharyngeal painf|Dyspnea exertionale|Decreased appetite|Hyperglycemia|Hypocalcemia|Gout e|Hypophosphatemiae|Rash|Pruritus f|Insomnia|Depression|Fallf|Contusionf|Cataract|Cataract subcapsulare|Weight decreased|Atrial fibrillationc|Myocardial infarction (including acute)c,e|Renal failure (including acute)c@,f|Squamous cell carcinomac e|Basal cell carcinomac e,f"
"Lenvima","Hypertensiona|Hypotension|Diarrhea|Nausea|Stomatitisb|Vomiting|Abdominal painc|Constipation|Oral paind|Dry mouth|Dyspepsia|Fatiguee|Edema peripheral|Arthralgia/Myalgiaf|Decreased appetite|Decreased weight|Dehydration|Headache|Dysgeusia|Dizziness|Proteinuria|Palmar-plantar erythrodysesthesia|Rashg|Alopecia|Hyperkeratosis|Dysphonia|Cough|Epistaxis|Insomnia|Urinary tract infection|Dental and oral infectionsh|Electrocardiogram QT prolonged"
"Leqvio","Injection site reactionâ€ |Arthralgia|Urinary tract infection|Diarrhea|Bronchitis|Pain in extremity|Dyspnea"
"Letairis","Peripheral edema|Nasal congestion|Sinusitis|Flushing"
"Letrozole","Hypercholesterolemia*|Hot flashes*|Arthralgia/arthritis*|Bone fractures 1|Night sweats*|Weight increase*|Nausea*|Bone fractures** 2|Fatigue (lethargy, malaise, asthenia)*|Myalgia*|Vaginal bleeding*|Edema*|Weight decrease|Osteoporosis**|Back pain|Bone pain|Depression|Vaginal irritation*|Headache*|Pain in extremity|Osteopenia*|Dizziness/light-headedness*|Alopecia|Vomiting*|Cataract*|Constipation*|Myocardial infarction 1|Breast pain*|Anorexia*|Endometrial proliferation disorders*|Ovarian cyst*|Endometrial|hyperplasia/cancer** 1|hyperplasia/cancer** 3|Other endometrial disorders*|Myocardial infarction** 2|Myocardial ischemia|Cerebrovascular|accident/TIA** 1|accident/TIA** 2|Angina requiring surgery** 1|Angina requiring surgery** 2|Thromboembolic event** 1|Thromboembolic event** 2|Cardiac failure 1|Cardiac failure 2|Hypertension 1|Hypertension 2|Other cardiovascular** 1|Other cardiovascular** 2|Second primary malignancy 1|Second primary malignancy 2|Hypercholesterolemia Target events pre-specified for analysis|Hot flashes|Arthralgia/arthritis|Bone fractures At median follow-up of 96 months (i.e. any time after randomization) for letrozole tablets (range up to 144 months) and 95 months for tamoxifen (range up to 143 months )|Night sweats|Weight increase|Nausea|Bone fractures Events pre-printed on CRFAt median treatment duration of 60 months (i.e. during treatment + 30 days after discontinuation of treatment) for letrozole tablets and tamoxifen (range up to 68 months)|Fatigue (lethargy, malaise, asthenia)|Myalgia|Vaginal bleeding|Edema|Osteoporosis|Vaginal irritation|Headache|Osteopenia|Dizziness/light-headedness|Vomiting|Cataract|Constipation|Myocardial infarction|Breast pain|Anorexia|Endometrial proliferation disorders|Ovarian cyst|Endometrial hyperplasia/cancer|Endometrial hyperplasia/cancer ,Excluding women who had undergone hysterectomy before study entry|Other endometrial disorders|Cerebrovascular accident/TIA|Angina requiring surgery|Thromboembolic event|Cardiac failure|Hypertension|Other cardiovascular|Second primary malignancy|HypercholesterolemiaTarget events pre-specified for analysis|Bone fracturesAt median follow-up of 96 months (i.e. any time after randomization) for letrozole tablets (range up to 144 months) and 95 months for tamoxifen (range up to 143 months )|Bone fracturesEvents pre-printed on CRFAt median treatment duration of 60 months (i.e. during treatment + 30 days after discontinuation of treatment) for letrozole tablets and tamoxifen (range up to 68 months)|Endometrial hyperplasia/cancer,Excluding women who had undergone hysterectomy before study entry|Bone fractures1|Bone fractures**2|Myocardial infarction1|Endometrial hyperplasia/cancer**1|Endometrial hyperplasia/cancer**,3|Myocardial infarction**2|Cerebrovascular accident/TIA**1|Cerebrovascular accident/TIA**2|Angina requiring surgery**1|Angina requiring surgery**2|Thromboembolic event**1|Thromboembolic event**2|Cardiac failure1|Cardiac failure2|Hypertension1|Hypertension2|Other cardiovascular**1|Other cardiovascular**2|Second primary malignancy1|Second primary malignancy2|Hypercholesterolemia *|Hot flashes *|Arthralgia/Arthritis *|Night sweats *|Weight Increase *|Nausea *|Bone Fractures **2|Fatigue (lethargy, malaise, asthenia) **2|Myalgia *|Vaginal Bleeding *|Edema *|Osteoporosis **|Back Pain|Vaginal irritation *|Headache *|Osteopenia *|Dizziness/Light-Headedness *|Vomiting *|Cataract *|Constipation *|Breast pain *|Anorexia *|Endometrial proliferation disorders *|Ovarian cyst *|Endometrial hyperplasia/ Cancer **1|Endometrial hyperplasia/ Cancer **3|Other endometrial disorders **|Myocardial infarction **2|Cerebrovascular accident/TIA **1|Cerebrovascular accident/TIA **2|Angina requiring surgery **1|Angina requiring surgery **2|Thromboembolic event **1|Thromboembolic event **2|Other cardiovascular **1|Other cardiovascular 2|Hypercholesterolemia|Hot Flashes/Flushes|Arthralgia/Arthritis|Night Sweats|Bone Fractures2|Weight Increase|Bone Fractures1|Fatigue (Lethargy, Malaise, Asthenia)|Weight Decrease|Vaginal Bleeding|Osteoporosis NOS|Vaginal Irritation|Dizziness/Light-Headedness|Endometrial Hyperplasia/ Cancer 2, 3|Endometrial Proliferation Disorders|Endometrial Hyperplasia/ Cancer 1, 3|Myocardial Infarction1|Myocardial Infarction2|Cerebrovascular accident1|Cerebrovascular accident2|Angina1|Angina2|Thromboembolic Event1|Thromboembolic Event2|Other Cardiovascular1|Other Cardiovascular2|Second Malignancies1|Second Malignancies2|Endometrial hyperplasia/cancer** 1|Endometrial hyperplasia/cancer** ,3|Cerebrovascular accident/TIA** 1|Cerebrovascular accident/TIA** 2|hyperplasia/cancer**,3|Weight increase *|Bone fractures **2|Fatigue (lethargy, malaise, asthenia) *|Vaginal bleeding *|Dizziness/light-headedness *|Endometrial hyperplasia/cancer **1|Endometrial hyperplasia/cancer **3|Other endometrial disorders *|Other cardiovascular **2|Endometrial hyperplasia/cancer**3"
"Leucovorin Calcium","Leukopenia|Thrombocytopenia|Infection|Nausea|Vomiting|Diarrhea|Stomatitis|Constipation|Lethargy/Malaise/Fatigue|Alopecia|Dermatitis|Anorexia|Hospitalization for Toxicity"
"Leukine","Body, General|Fever|Mucous membrane disorder|Asthenia|Malaise|Sepsis|Digestive System|Nausea|Diarrhea|Vomiting|Anorexia|GI disorder|GI hemorrhage|Stomatitis|Liver damage|Skin and Appendages|Alopecia|Rash"
"Leuprolide Acetate","Cardiovascular System|Congestive heart failure|ECG changes/ischemia|High blood pressure|Murmur|Peripheral edema|Phlebitis/thrombosis|Gastrointestinal System|Anorexia|Constipation|Nausea/vomiting|Endocrine System|Hemic and Lymphatic System|Anemia|Musculoskeletal System|Bone pain|Myalgia|Central/Peripheral Nervous System|Dizziness/lightheadedness|General pain|Headache|Insomnia/sleep disorders|Respiratory System|Dyspnea|Sinus congestion|Integumentary System|Dermatitis|Urogenital System|Frequency/urgency|Hematuria|Urinary tract infection|Miscellaneous|Asthenia|Decreased testicular sizePhysiologic effect of decreased testosterone.|Gynecomastia/breast tenderness or pain|Hot flashes|Impotence|Decreased testicular size Physiologic effect of decreased testosterone.|Physiologic effect of decreased testosterone.Decreased testicular size"
"Levalbuterol","Allergic reaction|Flu syndrome|Accidental injury|Pain|Back pain|Cardiovascular System|Tachycardia|Migraine|Digestive System|Dyspepsia|Musculoskeletal System|Leg cramps|Central Nervous System|Dizziness|Hypertonia|Nervousness|Tremor|Anxiety|Respiratory System|Cough increased|Infection viral|Rhinitis|Sinusitis|Turbinate edema"
"Levalbuterol Inhalation","Â­|Allergic reaction|Flu syndrome|Accidental injury|Pain|Back pain|Cardiovascular System|Tachycardia|Migraine|Digestive System|Dyspepsia|Musculoskeletal System|Leg cramps|Central Nervous System|Dizziness|Hypertonia|Nervousness|Tremor|Anxiety|Respiratory System|Cough increased|Infection viral|Rhinitis|Sinusitis|Turbinate edema|Â­ a One treatment group, racemic albuterol 1.25 mg, with 68 subjects is omitted. Â­"
"Levalbuterol Inhalation Solution","Allergic reaction|Flu syndrome|Accidental injury|Pain|Back pain|Cardiovascular System|Tachycardia|Migraine|Digestive System|Dyspepsia|Musculoskeletal System|Leg cramps|Central Nervous System|Dizziness|Hypertonia|Nervousness|Tremor|Anxiety|Respiratory System|Cough increased|Infection viral|Rhinitis|Sinusitis|Turbinate edema"
"Levamlodipine","Edema|Dizziness|Flushing|Palpitation"
"Levemir","Upper respiratory tract infection|Headache|Pharyngitis|Influenza-like illness|Abdominal Pain"
"Levetiracetam","Asthenia|Somnolence|Headache|Infection|Dizziness|Pain|Pharyngitis|Depression|Nervousness|Rhinitis|Anorexia|Ataxia|Vertigo|Amnesia|Anxiety|Cough Increased|Diplopia|Emotional Lability|Hostility|Paresthesia|Sinusitis|Digestive System|Nervous System|Respiratory System|Special Senses|Influenza|Irritability|Nasopharyngitis|Nausea|Sommolence|Dizzniess"
"Levetiracetam Er","Influenza|Somnolence|Irritability|Nasopharyngitis|Dizziness|Nausea"
"Levetiracetam Extended Release","Influenza|Somnolence|Irritability|Nasopharyngitis|Dizziness|Nausea"
"Levetiracetam Extended-release","Influenza|Somnolence|Irritability|Nasopharyngitis|Dizziness|Nausea"
"Levetiracetam In Sodium Chloride","Asthenia|Somnolence|Headache|Infection|Dizziness|Pain|Pharyngitis|Depression|Nervousness|Rhinitis|Anorexia|Ataxia|Vertigo|Amnesia|Anxiety|Cough Increased|Diplopia|Emotional Lability|Hostility|Paresthesia|Sinusitis"
"Levetiracetam Levetiracetam","Asthenia|Somnolence|Headache|Infection|Dizziness|Pain|Pharyngitis|Depression|Nervousness|Rhinitis|Anorexia|Ataxia|Vertigo|Amnesia|Anxiety|CoughIncreased|Diplopia|Emotional Lability|Hostility|Paresthesia|Sinusitis|EmotionalLability"
"Levocetirizine Dihydrochloride","Somnolence|Nasopharyngitis|Fatigue|Dry Mouth|Pharyngitis|Advers e Reactions"
"Levofloxacin","Psychiatric Disorders|Nervous System Disorders|Respiratory, Thoracic and Mediastinal Disorders|Skin and Subcutaneous Tissue Disorders|Respiratory, Thoracic andMediastinal Disorders|Skin and SubcutaneousTissue Disorders|Respiratory , Thoracic and Mediastinal Disorders"
"Levoleucovorin","Gastrointestinal|Stomatitis|Vomiting|Nausea|Diarrhea|Dyspepsia|Typhlitis|Respiratory|Dyspnea|Skin and Appendages|Dermatitis|Other|Confusion|Neuropathy|Renal function abnormal|Taste perversion|Total number of patients|Total number of courses"
"Levoleucovorin Calcium","Gastrointestinal|Stomatitis|Vomiting|Nausea|Diarrhea|Dyspepsia|Typhlitis|Dyspnea|Dermatitis|Confusion|Neuropathy|Renal function abnormal|Taste perversion"
"Levomilnacipran","Nausea|Constipation|Vomiting|Tachycardiaa|Palpitations|Erectile dysfunctionc|Testicular paind|Ejaculation disordere|Heart rate increasedf|Blood pressure increasedg|Urinary hesitation|Hyperhidrosis|Rashh|Hot flush|Hypotensioni|Hypertensionj|Decreased appetite"
"Levulan Kerastick","Scaling/Crusting|Pain|Tenderness|Itching|Edema|Ulceration|Bleeding/Hemorrhage|Hypo/hyper-pigmentation|Vesiculation|Pustules|Oozing|Dysesthesia|Scabbing|Erosion|Excoriation|Wheal/Flare|Skin disorder NOS"
"Lexapro","TABLE 2|Autonomic Nervous System Disorders|Dry Mouth|Sweating Increased|Central & Peripheral Nervous System Disorders|Dizziness|Gastrointestinal Disorders|Nausea|Diarrhea|Constipation|Indigestion|Abdominal Pain|General|Influenza-like Symptoms|Fatigue|Psychiatric Disorders|Insomnia|Somnolence|Appetite Decreased|Libido Decreased|Respiratory System Disorders|Rhinitis|Sinusitis|Urogenital|Ejaculation Disorder1,2|Impotence2|Anorgasmia3|TABLE2"
"Lexette","Application site burning/stinging|Application site pain|Headache"
"Lexiscan","Dyspnea|Headache|Flushing|Chest Discomfort|Angina Pectoris or ST Segment Depression|Dizziness|Chest Pain|Nausea|Abdominal Discomfort|Dysgeusia|Feeling Hot"
"Lialda","Headache|Flatulence|Liver Function Test Abnormal|Alopecia|Pruritus"
"Libtayo","FatigueComposite term includes fatigue and asthenia|RashComposite term includes rash, rash maculopapular, erythema, dermatitis, dermatitis bullous, rash generalized, pemphigoid, rash erythematous, rash macular, rash pruritic, drug eruption, psoriasis, and skin reaction|PruritusComposite term includes pruritus and pruritus allergic|DiarrheaComposite term includes diarrhea and colitis|Nausea|Constipation|Vomiting|Musculoskeletal painComposite term includes back pain, pain in extremity, myalgia, musculoskeletal pain, and neck pain|Arthralgia|CoughComposite term includes cough and upper airway cough syndrome|Anemia|Endocrine|Hypothyroidism|Decreased appetite"
"Liletta","Vulvovaginal mycotic infections|Vaginal bacterial infections|Acne|Nausea or vomiting|Abdominal discomfort or pain|Headache|Breast tenderness or pain|Dyspareunia|Anxiety|Pelvic discomfort or pain|Depression|Dysmenorrhea|Mood changes|Weight increased|Back pain|Vaginal discharge"
"Linezolid","Headache|Diarrhea|Nausea|Vomiting|Dizziness|Rash|Anemia|Taste alteration|Vaginal moniliasis|Oral moniliasis|Abnormal liver function tests|Fungal infection|Tongue discoloration|Localized abdominal pain|Generalized abdominal pain"
"Linzess","Gastrointestinal Diarrhea Abdominal painb Flatulence Abdominal distension|Infections and Infestations Viral Gastroenteritis|Nervous System Disorders Headache"
"Lioresal (baclofen)","Hypotonia|Somnolence|Dizziness|Paresthesia|Nausea and Vomiting|Headache|Constipation|Convulsion|Urinary Retention|Dry Mouth|Accidental Injury|Asthenia|Confusion|Death|Pain|Speech Disorder|Hypotension|Ambylopia|Diarrhea|Hypoventilation|Coma|Impotence|Peripheral Edema|Urinary Incontinence|Insomnia|Anxiety|Depression|Dyspnea|Fever|Pneumonia|Urinary Frequency|Urticaria|Anorexia|Diplopia|Dysautonomia|Hallucinations|Hypertension"
"Lipitor","Nasopharyngitis|Arthralgia|Diarrhea|Pain in extremity|Urinary tract infection|Dyspepsia|Nausea|Musculoskeletal pain|Muscle Spasms|Myalgia|Insomnia|Pharyngolaryngeal pain"
"Lipofen","Abdominal Pain|Back Pain|Headache|Abnormal Liver Function Tests|Nausea|Constipation|Increased ALT|Creatine Phosphokinase Increased|Increased AST|Respiratory Disorder|Rhinitis"
"Lisinopril","Dizziness|Hypotension|Creatinine increased|Hyperkalemia|Syncope|Fatigue|Asthenia|Orthostatic Effects|Cardiovascular|Digestive|Diarrhea|Nausea|Vomiting|Dyspepsia|Musculoskeletal|Muscle Cramps|Nervous/Psychiatric|Headache|Paresthesia|Decreased Libido|Vertigo|Respiratory|Cough|Upper Respiratory Infection|Common Cold|Nasal Congestion|Influenza|Skin|Rash|Urogenital|Impotence"
"Lisinopril And Hydrochlorothiazide","Dizziness|Headache|Cough|Fatigue|Orthostatic Effects|Diarrhea|Nausea|Upper Respiratory Infection|Muscle Cramps|Asthenia|Paresthesia|Hypotension|Vomiting|Dyspepsia|Rash|Impotence"
"Lisinopril With Hydrochlorothiazide","Dizziness|Headache|Cough|Fatigue|Orthostatic Effects|Diarrhea|Nausea|Upper Respiratory Infection|Muscle Cramps|Asthenia|Paresthesia|Hypotension|Vomiting|Dyspepsia|Rash|Impotence"
"Lithium Carbonate","Gastrointestinal Disorders|Nausea/vomiting|General Disorders|Fatigue|Genitourinary Disorders|Polyuria (Including Enuresis)|Investigations|Increased TSH|Metabolism and nutrition disorders|Thirst/polydipsia|Decreased appetite|Nervous system disorders|Ataxia/gait disturbance|Blurry vision|Disorientation|Dizziness|Tremor|Skin and subcutaneous tissue disorders|Rash/dermatitis|Skin and subcutaneous tissuedisorders"
"Lithium Carbonate Lithium Carbonate","Gastrointestinal Disorders|Nausea/vomiting|General Disorders|Fatigue|Genitourinary Disorders|Polyuria (Including Enuresis)|Investigations|Increased TSH|Metabolism and nutrition disorders|Thirst/polydipsia|Decreased appetite|Nervous system disorders|Ataxia/gait disturbance|Blurry vision|Disorientation|Dizziness|Tremor|Skin and subcutaneous tissue disorders|Rash/dermatitis"
"Livalo","Back Pain|Constipation|Diarrhea|Myalgia|Pain in extremity"
"Livmarli","Diarrhea|Abdominal painTerms were defined as: Fat-Soluble Vitamin deficiency includes: A, D, E, or K deficiency, or INR increase Abdominal Pain includes: abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper Transaminases increased includes: ALT abnormal, ALT increased, AST abnormal, AST increased Gastrointestinal Bleeding includes: hematochezia, hematemesis, gastrointestinal hemorrhage, melena Bone Fracture includes: tibia fracture, rib fracture, hand fracture, humerus fracture, pathological fracture, forearm fracture, hand fracture, clavicle fracture|Vomiting|Nausea|Fat-Soluble Vitamin deficiency|Transaminases increased (ALT, AST)|Gastrointestinal Bleeding|Bone Fractures"
"Locametz","Fatigue|Nausea|Constipation|Vomiting"
"Locoid","Application site reactions, including application site burning, pruritus, dermatitis, erythema, eczema, inflammation, or irritation|Infantile acne|Skin depigmentation"
"Locoid Lipocream","Application site reactions, including application site folliculitis, irritation, dermatitis, erythema|Acne|Telangiectasia"
"Lonhala Magnair","Dyspnea|Urinary Tract Infection"
"Loperamide Hydrochloride","No. of treated patients|Constipation"
"Lopid","Gastrointestinal reactions|Dyspepsia|Abdominal pain|Acute appendicitis|Atrial fibrillation|Diarrhea|Fatigue|Nausea/Vomiting|Eczema|Rash|Vertigo|Constipation|Headache"
"Lopinavir And Ritonavir","anemia*|leukopenia and neutropenia*|lymphadenopathy*|atherosclerosis such as myocardial infarction*|atrioventricular block*|tricuspid valve incompetence*|vertigo*|tinnitus|hypogonadism*|EYE DISORDERS|visual impairment*|diarrhea*|nausea|vomiting*|abdominal pain (upper and lower)*|gastroenteritis and colitis*|dyspepsia|pancreatitis*|Gastroesophageal Reflux Disease (GERD)*|hemorrhoids|flatulence|abdominal distension|constipation*|stomatitis and oral ulcers*|duodenitis and gastritis*|gastrointestinal hemorrhage including rectal hemorrhage*|dry mouth|gastrointestinal ulcer*|fecal incontinence|fatigue including asthenia*|hepatitis including AST, ALT, and GGT increases*|hepatomegaly|cholangitis|hepatic steatosis|hypersensitivity including urticaria and angioedema*|immune reconstitution syndrome|upper respiratory tract infection*|lower respiratory tract infection*|skin infections including cellulitis, folliculitis, and furuncle*|hypercholesterolemia*|hypertriglyceridemia*|weight decreased*|decreased appetite|blood glucose disorders including diabetes mellitus*|weight increased*|lactic acidosis*|increased appetite|musculoskeletal pain including arthralgia and back pain*|myalgia*|muscle disorders such as weakness and spasms*|rhabdomyolysis*|osteonecrosis|headache including migraine*|insomnia*|neuropathy and peripheral neuropathy*|dizziness*|ageusia*|convulsion*|tremor*|cerebral vascular event*|anxiety*|abnormal dreams*|libido decreased|renal failure*|hematuria*|nephritis*|erectile dysfunction*|menstrual disorders - amenorrhea, menorrhagia*|rash including maculopapular rash*|lipodystrophy acquired including facial wasting*|dermatitis/rash including eczema and seborrheic dermatitis*|night sweats*|pruritus*|alopecia|capillaritis and vasculitis*|hypertension*|deep vein thrombosis*|CARDIAC DISORDERS|EAR AND LABYRINTH DISORDERS|Tinnitus|ENDOCRINE DISORDERS|GASTROINTESTINAL DISORDERS|Nausea|HEPATOBILIARY DISORDERS|IMMUNE SYSTEM DISORDERS|INFECTIONS AND INFESTATIONS|RENAL AND URINARY DISORDERS|9 erectile dysfunction*|SKIN AND SUBCUTANEOUS TISSUE DISORDERS|VASCULAR DISORDERS"
"Lopreeza","Back Pain|Headache|Digestive System|Nausea|Gastroenteritis|Nervous System|Insomnia|Emotional Lability|Respiratory System|Upper Respiratory Tract Infection|Sinusitis|Metabolic and Nutritional|Urogenital System|Breast Pain|Post-Menopausal Bleeding|Uterine Fibroid|Ovarian Cyst|Resistance Mechanism|Infection Viral|Moniliasis Genital|Secondary Terms|Injury Accidental|Other Events"
"Lorazepam","Infection|Cardiovascular system|Hypotension|Digestive system|Liver function tests abnormal|Nausea|Vomiting|Metabolic and Nutritional|Acidosis|Nervous system|Brain edema|Coma|Convulsion|Somnolence|Thinking abnormal|Respiratory system|Hyperventilation|Hypoventilation|Respiratory failure|Terms not classifiable|Injection site reaction|Urogenital system|Cystitis"
"Lorbrena","Psychiatric|Mood effectsMood effects (including affective disorder, affect lability, agitation, anger, anxiety, bipolar I disorder, depressed mood, depression, depressive symptom, euphoric mood, intentional self-injury, irritability, mood altered, mood swings, stress).|Nervous system|Peripheral neuropathyPeripheral neuropathy (including dysesthesia, gait disturbance, hypoesthesia, motor dysfunction, muscular weakness, neuralgia, neuropathy peripheral, paresthesia, peripheral motor neuropathy, peripheral sensory neuropathy).|Cognitive effectsCognitive effects (including events from SOC Nervous system disorders: amnesia, cognitive disorder, disturbance in attention, memory impairment, mental impairment; and also including events from SOC Psychiatric disorders: confusional state, delirium, disorientation).|Headache|Dizziness|Sleep effectsSleep effects (including insomnia, nightmare, sleep disorder, somnambulism).|Respiratory|Dyspnea|Cough|Respiratory failure|Vascular disorders|Hypertension|Ocular|Vision disorderVision disorder (including diplopia, photophobia, photopsia, vision blurred, visual acuity reduced, visual impairment, vitreous floaters).|Gastrointestinal|Diarrhea|Nausea|Constipation|Vomiting|Musculoskeletal and connective tissue|Arthralgia|MyalgiaMyalgia (including musculoskeletal pain, myalgia).|Back pain|Pain in extremity|General|EdemaEdema (including edema, edema peripheral, eyelid edema, face edema, generalized edema, localized edema, periorbital edema, peripheral swelling, swelling).|Weight gain|FatigueFatigue (including asthenia, fatigue).|Pyrexia|Chest pain|Infections|Upper respiratory tract infectionUpper respiratory tract infection (including upper respiratory infection).|Pneumonia|Bronchitis|Skin|RashRash (including dermatitis acneiform, maculopapular rash, rash)."
"Losartan Potassium","Cough|cough|Musculoskeletal|Cramp, muscle|Pain, back|Pain, leg|Nervous System/Psychiatric|Dizziness|Respiratory|Congestion, nasal|Infection, upper respiratory|Sinusitis|Cough Study 2â€ |Cough S t udy 2â€ |Cough Study 2 â€ "
"Losartan Potassium 100 Mg","Cough"
"Losartan Potassium 25 Mg","Cough"
"Losartan Potassium 50 Mg","Cough"
"Losartan Potassium And Hydrochlorothiazide","Study 1* Cough|Study 2â€  Cough|Abdominal pain|Edema/swelling|Cardiovascular|Palpitation|Musculoskeletal|Back pain|Nervous/Psychiatric|Dizziness|Respiratory|Cough|Sinusitis|Upper respiratory infection|Skin|Rash|Table 1:"
"Losartan Potassium Hctz","Abdominal pain|Edema/swelling|Cardiovascular|Palpitation|Musculoskeletal|Back pain|Nervous/Psychiatric|Dizziness|Respiratory|Cough|Sinusitis|Upper respiratory infection|Skin|Rash"
"Losartan Potassium Tablets, 25 Mg","Cough"
"Losartan Potassium Tablets, 50 Mg","Cough"
"Losortan Potassium","Cough|Musculoskeletal Cramp, muscle Pain, back Pain, leg|Nervous System/Psychiatric Dizziness|Respiratory Congestion, nasal Infection, upper respiratory Sinusitis"
"Lotensin Hct","â€œDizzinessâ€�|Fatigue|Postural Dizziness|Headache|Cough|Hypertonia|Vertigo|Nausea|Impotence|Somnolence"
"Lotrel","Cough|Headache|Dizziness|Edema*"
"Lotronex","Gastrointestinal|Constipation|Abdominal discomfort and pain|Nausea|Gastrointestinal discomfort and pain|Abdominal distention|Regurgitation and reflux|Hemorrhoids"
"Lovastatin","Asthenia|Gastrointestinal|Abdominal pain|Constipation|Diarrhea|Dyspepsia|Flatulence|Nausea|Musculoskeletal|Muscle cramps|Myalgia|Nervous System/ Psychiatric|Dizziness|Headache|Skin|Rash|Special Senses|Blurred vision|Nervous System/Psychiatric"
"Lovaza","Eructation|Dyspepsia|Taste perversion"
"Lovenox","Abdominal Surgery|Colorectal Surgery"
"Lubiprostone","Nausea|Diarrhea|Headache|Abdominal pain|Abdominal distension|Flatulence|Vomiting|Loose stools|Edema|Abdominal discomfort2|Dizziness|Chest discomfort/pain|Dyspnea|Dyspepsia|Fatigue|Dry mouth|Abdominal discomfortThis term combines abdominal tenderness, abdominal rigidity, gastrointestinal discomfort, stomach discomfort, and abdominal discomfort."
"Lucemyra","Insomnia|Orthostatic Hypotension|Bradycardia|Hypotension|Dizziness|Somnolence|Sedation|Dry Mouth"
"Lucentis","Conjunctival hemorrhage|Eye pain|Vitreous floaters|Intraocular pressure increased|Vitreous detachment|Intraocular inflammation|Cataract|Foreign body sensation in eyes|Eye irritation|Lacrimation increased|Blepharitis|Dry eye|Visual disturbance or vision blurred|Eye pruritis|Ocular hyperemia|Retinal disorder|Maculopathy|Retinal degeneration|Ocular discomfort|Conjunctival hyperemia|Posterior capsule opacification|Injection site hemorrhage"
